id,loss
0,0.991725
1,0.99472046
2,0.9668883
3,0.95484525
4,0.92992884
5,0.9102535
6,0.8853571
7,0.8774245
8,0.8527534
9,0.85060227
10,0.853422
11,0.840345
12,0.8165305
13,0.8056024
14,0.7986857
15,0.79738384
16,0.7932563
17,0.77317387
18,0.7654921
19,0.76576644
20,0.7536446
21,0.7385115
22,0.7245251
23,0.7218625
24,0.7031371
25,0.6886106
26,0.67622
27,0.6574509
28,0.64241123
29,0.6263204
30,0.61834925
31,0.6144262
32,0.6038433
33,0.591749
34,0.5809762
35,0.5714268
36,0.5666412
37,0.55557036
38,0.55077875
39,0.54634315
40,0.5419096
41,0.533409
42,0.52084875
43,0.5108966
44,0.50067
45,0.4907912
46,0.49101543
47,0.48314595
48,0.47919917
49,0.4722838
50,0.46568492
51,0.45493564
52,0.44913557
53,0.44245768
54,0.43495396
55,0.42722785
56,0.41664854
57,0.4084046
58,0.40280983
59,0.3942355
60,0.38965034
61,0.38069507
62,0.37423062
63,0.36720335
64,0.36549842
65,0.35779727
66,0.3499818
67,0.3459681
68,0.34089077
69,0.33627158
70,0.33184636
71,0.32503152
72,0.31915578
73,0.31290856
74,0.3075277
75,0.30145335
76,0.2956983
77,0.29174218
78,0.28704792
79,0.28227952
80,0.2779857
81,0.27466476
82,0.27094164
83,0.26632503
84,0.26415202
85,0.2606125
86,0.25593117
87,0.253956
88,0.24974276
89,0.24766158
90,0.24390575
91,0.23988838
92,0.23669022
93,0.23278113
94,0.22832175
95,0.22545008
96,0.22297692
97,0.21983297
98,0.21656637
99,0.21527897
100,0.21156433
101,0.2084295
102,0.20611571
103,0.2031206
104,0.19954886
105,0.1969555
106,0.19501695
107,0.19354685
108,0.19142632
109,0.19082612
110,0.19278981
111,0.1896181
112,0.18649793
113,0.18418686
114,0.18346672
115,0.18037751
116,0.17749588
117,0.17564371
118,0.1742814
119,0.17147756
120,0.17148817
121,0.17037465
122,0.1675509
123,0.16568112
124,0.16294159
125,0.1604833
126,0.15855397
127,0.15621786
128,0.15533762
129,0.1540212
130,0.15268508
131,0.15108016
132,0.1492665
133,0.14693308
134,0.14788209
135,0.14660291
136,0.14627157
137,0.14400062
138,0.14257662
139,0.14047296
140,0.13832888
141,0.13798527
142,0.1375878
143,0.13646095
144,0.13669685
145,0.13561985
146,0.13401622
147,0.13149218
148,0.12925805
149,0.12992965
150,0.12953693
151,0.12884213
152,0.12828687
153,0.12623182
154,0.12557754
155,0.12945177
156,0.13004315
157,0.12853143
158,0.12722673
159,0.12752117
160,0.1256911
161,0.12484901
162,0.12348963
163,0.12510148
164,0.12579577
165,0.12415922
166,0.122407526
167,0.12158638
