id,loss
0,1.0689691
1,0.8879724
2,0.86739063
3,0.8680808
4,0.8108157
5,0.78745216
6,0.7705767
7,0.76854795
8,0.75594693
9,0.7541258
10,0.7197975
11,0.7033253
12,0.70212156
13,0.68949157
14,0.67789596
15,0.65346104
16,0.63947695
17,0.6278991
18,0.61628044
19,0.6045968
20,0.60143423
21,0.59621155
22,0.5870878
23,0.5805576
24,0.57025933
25,0.5614932
26,0.5491715
27,0.5373798
28,0.5248345
29,0.51983166
30,0.51599956
31,0.50780946
32,0.49770933
33,0.4900933
34,0.4869642
35,0.48737428
36,0.48197156
37,0.47743374
38,0.46769136
39,0.45680428
40,0.4496462
41,0.44460744
42,0.44163647
43,0.43652913
44,0.42791784
45,0.42132443
46,0.4161428
47,0.41011286
48,0.40466726
49,0.40185407
50,0.3956992
51,0.38828048
52,0.38219157
53,0.37518767
54,0.37056276
55,0.3654113
56,0.36148086
57,0.3611328
58,0.35771435
59,0.35296014
60,0.34751976
61,0.3411888
62,0.34383535
63,0.33964732
64,0.33584455
65,0.33243474
66,0.3290584
67,0.3250399
68,0.32219428
69,0.3174149
70,0.31236592
71,0.30863675
72,0.3091397
73,0.31218472
74,0.30815202
75,0.30357835
76,0.30027688
77,0.29805344
78,0.30032876
79,0.29820654
80,0.2939315
81,0.2910181
82,0.29023924
83,0.28732023
84,0.2847896
85,0.2844355
86,0.28082994
87,0.27704182
88,0.27764305
89,0.27596596
90,0.27459058
91,0.2734144
92,0.2712651
93,0.2724084
94,0.26982608
95,0.26835474
96,0.26828098
97,0.26562604
98,0.26319802
99,0.26100615
100,0.2568449
101,0.2531204
102,0.25191963
103,0.24958313
104,0.24978177
105,0.24658024
106,0.2444564
107,0.24540527
108,0.24352604
109,0.2408368
110,0.24029273
111,0.25612652
112,0.25366938
113,0.25288063
114,0.25070024
115,0.24762587
116,0.24590443
117,0.24791047
118,0.24532886
119,0.24488033
120,0.24420556
121,0.24198234
122,0.2404761
123,0.23822108
124,0.23922431
125,0.2360994
126,0.2379065
127,0.23636593
128,0.23680618
129,0.23476441
130,0.23324476
131,0.23221485
132,0.23101828
133,0.22960123
134,0.22815555
135,0.23101483
136,0.23165773
137,0.23027009
138,0.23068051
139,0.22968347
140,0.22783922
141,0.22662923
142,0.22481301
143,0.22241838
144,0.22135343
145,0.21873516
