id,loss
0,0.9041758
1,0.8732707
2,0.88462406
3,0.8374452
4,0.8395599
5,0.8502771
6,0.8516066
7,0.8479737
8,0.8556031
9,0.85143214
10,0.8468885
11,0.83782035
12,0.82455796
13,0.823334
14,0.8186126
15,0.8168542
16,0.80920535
17,0.80084294
18,0.7953929
19,0.7965644
20,0.78568715
21,0.7818199
22,0.7705185
23,0.76575625
24,0.7587851
25,0.75532037
26,0.7445272
27,0.74537987
28,0.73640096
29,0.7290505
30,0.719595
31,0.70734996
32,0.69992465
33,0.69549745
34,0.6927379
35,0.68709695
36,0.6809362
37,0.6737869
38,0.6632464
39,0.6572645
40,0.65067667
41,0.6428824
42,0.6341103
43,0.6276416
44,0.61888385
45,0.60599864
46,0.60030234
47,0.5909208
48,0.582224
49,0.57527983
50,0.56862485
51,0.5621084
52,0.55740565
53,0.5492202
54,0.54141134
55,0.5336931
56,0.5263661
57,0.51857346
58,0.5085097
59,0.50324535
60,0.49539113
61,0.48728636
62,0.47937062
63,0.47262898
64,0.46560934
65,0.46019256
66,0.45089573
67,0.44682044
68,0.44063085
69,0.43280584
70,0.42418188
71,0.4161379
72,0.41114634
73,0.40496272
74,0.39962286
75,0.3953135
76,0.39022055
77,0.3871596
78,0.38134256
79,0.3757784
80,0.36991635
81,0.36598197
82,0.3642081
83,0.35866764
84,0.35471264
85,0.34986657
86,0.34628618
87,0.3425621
88,0.33876792
89,0.33281004
90,0.32835275
91,0.32312003
92,0.3194817
93,0.31550452
94,0.31034434
95,0.30557534
96,0.3019493
97,0.2984635
98,0.29445052
99,0.29351273
100,0.29089645
101,0.2883806
102,0.28588834
103,0.28317407
104,0.27962297
105,0.27833948
106,0.27589768
107,0.27374288
108,0.27154967
109,0.26843557
110,0.26496312
111,0.26231563
112,0.25949797
113,0.25864246
114,0.2562342
115,0.25397676
116,0.25298306
117,0.25083202
118,0.24980599
119,0.24721113
120,0.2446903
121,0.24260917
122,0.2385273
123,0.23705156
124,0.23316243
125,0.22943799
126,0.22729267
127,0.22560102
128,0.22249214
129,0.21920949
130,0.21730646
131,0.21640801
132,0.21385048
133,0.21303375
134,0.21039122
135,0.20785096
136,0.20663995
137,0.20558132
138,0.203115
139,0.20188685
140,0.2020817
141,0.2001565
142,0.19837867
143,0.19641292
144,0.19365598
145,0.19112171
146,0.19090845
147,0.1893765
148,0.18715452
149,0.1844992
150,0.18240185
151,0.18037854
152,0.17808196
153,0.17587207
154,0.17456144
155,0.17318667
156,0.17245044
157,0.17059074
158,0.16866867
159,0.16672963
160,0.1646861
161,0.1642516
162,0.16192883
163,0.16195244
164,0.16115254
165,0.16063492
166,0.15974545
167,0.15852903
168,0.15955384
169,0.15750003
