id,loss
0,0.94176626
1,0.89027536
2,0.8171744
3,0.73096466
4,0.66837335
5,0.604062
6,0.5940076
7,0.54307914
8,0.5377958
9,0.5044079
10,0.4731404
11,0.4493924
12,0.45635298
13,0.45196512
14,0.43791905
15,0.41211152
16,0.39231178
17,0.38725868
18,0.37296683
19,0.35455883
20,0.3370084
21,0.3323684
22,0.32430866
23,0.31386983
24,0.30607682
25,0.2928698
26,0.28977194
27,0.28314593
28,0.27383286
29,0.2649848
30,0.25794804
31,0.24947299
32,0.24721295
33,0.24152891
34,0.23636012
35,0.23502934
36,0.23430374
37,0.23037145
38,0.22494048
39,0.2182191
40,0.21330616
41,0.209382
42,0.20528282
43,0.1996446
44,0.19528206
45,0.19160432
46,0.19143558
47,0.19001642
48,0.18622896
49,0.18362328
50,0.18083446
51,0.17779134
52,0.17621723
53,0.17600362
54,0.17117025
55,0.1707677
56,0.16921231
57,0.16761267
58,0.1661082
59,0.16504273
60,0.16491276
61,0.16222514
62,0.16166957
63,0.16232237
64,0.16091138
65,0.15748528
66,0.15492654
67,0.15339313
68,0.15017235
69,0.14966553
70,0.1474058
71,0.14625071
72,0.14801824
73,0.14529113
74,0.14298177
75,0.14022489
76,0.1392767
77,0.13598722
78,0.13341679
79,0.1321009
80,0.12984975
81,0.12887639
82,0.12765473
83,0.12646587
84,0.12621756
85,0.12359489
86,0.12198177
87,0.12029428
88,0.11838791
89,0.1182845
90,0.119728275
91,0.1185873
92,0.116345584
93,0.11439206
94,0.11745411
95,0.11583726
96,0.11561239
97,0.11438176
98,0.11385168
99,0.11322661
100,0.111664206
101,0.11112081
102,0.10917588
103,0.10971182
104,0.109965704
105,0.10946414
106,0.108567044
107,0.110440366
108,0.108688265
109,0.106926024
110,0.10701414
111,0.10550575
112,0.10404722
113,0.10303687
114,0.10208933
115,0.101702936
116,0.10321853
117,0.10281458
118,0.10215323
119,0.10287008
120,0.10261247
121,0.10362038
122,0.10325203
123,0.10321708
124,0.10246818
125,0.10131602
126,0.10116704
127,0.10086747
128,0.100087434
129,0.101006866
130,0.10114629
131,0.09972298
132,0.09841654
133,0.097741656
134,0.097149536
135,0.09807233
136,0.09812726
137,0.09772119
138,0.09665103
139,0.09811362
140,0.09861404
141,0.097300336
142,0.09796257
143,0.099165246
144,0.09937322
145,0.09820876
146,0.097700275
147,0.09831343
148,0.0986044
149,0.09822809
150,0.098267704
151,0.09834307
152,0.0968583
153,0.096911825
154,0.09660068
155,0.09614541
156,0.094370276
157,0.09376919
158,0.09217324
159,0.09536227
160,0.09568761
161,0.097509384
162,0.09724726
163,0.09644096
164,0.097401865
165,0.09624398
166,0.095382154
167,0.09422121
168,0.094727635
169,0.09352123
170,0.094247
171,0.09390503
172,0.09314429
173,0.09246145
174,0.09154975
175,0.09065323
176,0.091872446
177,0.09186339
178,0.09195808
179,0.09122546
180,0.090468265
181,0.0911514
182,0.09113269
183,0.090614796
184,0.09384556
185,0.09309158
186,0.09234718
187,0.09291829
188,0.09168688
189,0.09047438
190,0.08907668
191,0.088888146
192,0.08841425
193,0.08784147
194,0.08842753
195,0.08950126
196,0.08819022
197,0.092058435
198,0.092401184
199,0.09156933
200,0.09052092
201,0.09187068
202,0.09049952
203,0.089649566
204,0.08949697
205,0.08882801
206,0.08907935
207,0.08958214
208,0.08980492
209,0.090971045
210,0.09118438
211,0.09032044
212,0.08993777
213,0.089181565
214,0.090096265
215,0.09130218
216,0.090576045
217,0.08941612
218,0.08844515
219,0.09004578
220,0.090384945
221,0.08932967
222,0.089202136
223,0.08808262
224,0.08941687
225,0.09134093
226,0.09183979
227,0.09561392
228,0.09630323
229,0.095299274
230,0.09781798
231,0.09788506
232,0.0985653
233,0.09729553
234,0.097347826
235,0.09611171
236,0.09581406
237,0.09530908
238,0.09471581
239,0.09326631
240,0.09285313
241,0.09158178
242,0.09129489
243,0.091341764
244,0.0901356
245,0.089536875
246,0.08842222
247,0.08932
248,0.088743925
249,0.08822537
250,0.0869462
251,0.08588288
252,0.08655235
253,0.08629718
254,0.08588106
255,0.084518395
256,0.0851969
257,0.084240906
258,0.08386739
259,0.08318178
260,0.0824904
261,0.081731826
262,0.08181369
263,0.08192491
264,0.08159236
265,0.08741804
266,0.087562166
267,0.08851512
268,0.08804157
269,0.08678253
270,0.085818864
271,0.084756814
272,0.08625524
273,0.08525588
274,0.08508787
275,0.08457401
276,0.08403022
277,0.08443469
278,0.0847156
279,0.083242185
280,0.08316308
281,0.08302137
282,0.08303223
283,0.081900045
284,0.08086001
285,0.080900066
286,0.08177141
287,0.080929235
288,0.079901725
289,0.07973525
290,0.07988384
291,0.07920031
292,0.07850498
293,0.07864818
294,0.080696836
295,0.08025893
296,0.07956375
297,0.07888695
298,0.08185007
299,0.081998564
300,0.083272435
301,0.082979575
302,0.08201858
303,0.081705496
304,0.08117503
305,0.08033383
306,0.080462106
307,0.08075226
308,0.08029511
309,0.079943225
310,0.079351954
311,0.07872589
312,0.078691944
313,0.07746479
314,0.07670025
315,0.07651285
316,0.07647875
317,0.07582753
318,0.07682278
319,0.07585273
320,0.07689549
321,0.07640315
322,0.07682066
323,0.07792649
324,0.07886736
325,0.07804917
326,0.07685882
327,0.077056594
328,0.076990135
329,0.076004304
330,0.07566635
331,0.075983405
332,0.07627919
333,0.076513134
334,0.07602856
335,0.076039374
336,0.075602934
337,0.07509247
338,0.07699938
339,0.076344565
340,0.07743704
341,0.076881185
342,0.07660569
343,0.07720719
344,0.07832708
345,0.07868757
346,0.08004506
347,0.0829712
348,0.08195264
349,0.080719724
350,0.08097418
351,0.08072923
352,0.080362104
353,0.07982139
354,0.083035775
355,0.08306774
356,0.08233448
357,0.08162872
358,0.08075634
359,0.08310307
360,0.08434261
361,0.08343343
362,0.08494618
363,0.085418664
364,0.08470734
365,0.0842259
366,0.08392118
367,0.0837097
368,0.08481904
369,0.0839681
370,0.08334494
371,0.082348935
372,0.0813567
373,0.08109887
374,0.08011885
375,0.080178164
376,0.08002576
377,0.07940679
378,0.079573244
379,0.07904455
380,0.07890913
381,0.078932434
382,0.07799681
383,0.07746101
384,0.07682644
385,0.076446995
386,0.07628463
387,0.076985836
388,0.07849904
389,0.07806647
390,0.079247646
391,0.079277106
392,0.07854573
393,0.07786597
394,0.07940367
395,0.07900894
396,0.08001221
397,0.07945664
398,0.078720786
399,0.078540914
400,0.07767605
401,0.077442944
402,0.07788612
403,0.07707433
404,0.07659961
405,0.076548085
406,0.07553474
407,0.07508264
408,0.07504717
409,0.074410595
410,0.07400557
411,0.07462451
412,0.07359442
413,0.0732217
414,0.07313467
415,0.07272186
416,0.07437493
417,0.07342489
418,0.072861925
419,0.07291029
420,0.07240921
421,0.07276661
422,0.07331857
423,0.072757915
424,0.07391185
425,0.07457305
426,0.07627333
427,0.075367585
428,0.07533801
429,0.07639644
430,0.07592777
431,0.07584131
432,0.07528172
433,0.076339856
434,0.0755386
435,0.07684744
436,0.07595188
437,0.075683475
438,0.074806
439,0.074538
440,0.07381142
441,0.072492436
442,0.075310215
443,0.074093126
444,0.0744539
445,0.07340907
446,0.072322235
447,0.07145034
448,0.07118609
449,0.070457794
450,0.07029959
451,0.070247196
452,0.06965535
453,0.06962381
454,0.06915608
455,0.06873395
456,0.06880715
457,0.06933278
458,0.070132345
459,0.07024328
460,0.07174572
461,0.071792096
462,0.07141103
463,0.07065803
464,0.07062672
465,0.071198076
466,0.07070224
467,0.070661284
468,0.07059393
469,0.07203229
470,0.072374865
471,0.07178897
472,0.071842596
473,0.071252786
474,0.072236404
475,0.07234707
476,0.073928125
477,0.073986
478,0.07310904
479,0.07513008
480,0.0739658
481,0.07455585
482,0.07377741
483,0.07475857
484,0.07520149
485,0.07407993
486,0.07432962
487,0.073972814
488,0.073478565
489,0.07321931
490,0.07297564
491,0.07276333
492,0.0724097
493,0.07332514
494,0.07237604
495,0.071658775
496,0.071596764
497,0.07166993
498,0.07080418
499,0.06980538
500,0.06948299
501,0.06975705
502,0.071925946
503,0.07068816
504,0.07105075
505,0.07036639
506,0.06952624
507,0.07004007
508,0.069145076
509,0.06905059
510,0.06981551
511,0.07111398
512,0.07062849
513,0.07089423
514,0.07093002
515,0.07045829
516,0.0702219
517,0.07253329
518,0.07317278
519,0.07188459
520,0.07112378
521,0.07077883
522,0.071679294
523,0.07170448
524,0.071000054
525,0.07183046
526,0.071341015
527,0.07031003
528,0.0711983
529,0.07077376
530,0.06996511
531,0.07036114
532,0.06940651
533,0.06993051
534,0.07191759
535,0.0742438
536,0.073297516
537,0.074609786
538,0.075179964
539,0.075871475
